Year,State,Crime_Category,Crime_Type,Cases,Level
2017,Johor,Assault,Causing Injury,614,Subcategory
2017,Johor,Assault,Murder,66,Subcategory
2017,Johor,Assault,Rape,196,Subcategory
2017,Johor,Assault,Robbery Gang,1221,Subcategory
2017,Johor,Assault,Robbery Solo,481,Subcategory
2017,Johor,Property,Break In,1211,Subcategory
2017,Johor,Property,Theft Other,2043,Subcategory
2017,Johor,Property,Theft Vehicle,5475,Subcategory
2017,Kedah,Assault,Assault,996,Main
2017,Kedah,Property,Property,5763,Main
2017,Kedah,Assault,Causing Injury,364,Subcategory
2017,Kedah,Assault,Murder,21,Subcategory
2017,Kedah,Assault,Rape,119,Subcategory
2017,Kedah,Assault,Robbery Gang,335,Subcategory
2017,Kedah,Assault,Robbery Solo,157,Subcategory
2017,Kedah,Property,Break In,1350,Subcategory
2017,Kedah,Property,Theft Other,1108,Subcategory
2017,Kedah,Property,Theft Vehicle,3305,Subcategory
2017,Kelantan,Assault,Assault,600,Main
2017,Kelantan,Property,Property,3920,Main
2017,Kelantan,Assault,Causing Injury,252,Subcategory
2017,Kelantan,Assault,Murder,13,Subcategory
2017,Kelantan,Assault,Rape,114,Subcategory
2017,Kelantan,Assault,Robbery Gang,143,Subcategory
2017,Kelantan,Assault,Robbery Solo,78,Subcategory
2017,Kelantan,Property,Break In,570,Subcategory
2017,Kelantan,Property,Theft Other,547,Subcategory
2017,Kelantan,Property,Theft Vehicle,2803,Subcategory
2017,Melaka,Assault,Assault,842,Main
2017,Melaka,Property,Property,2255,Main
2017,Melaka,Assault,Causing Injury,176,Subcategory
2017,Melaka,Assault,Murder,7,Subcategory
2017,Melaka,Assault,Rape,69,Subcategory
2017,Melaka,Assault,Robbery Gang,350,Subcategory
2017,Melaka,Assault,Robbery Solo,240,Subcategory
2017,Melaka,Property,Break In,567,Subcategory
2017,Melaka,Property,Theft Other,448,Subcategory
2017,Melaka,Property,Theft Vehicle,1240,Subcategory
2017,Negeri Sembilan,Assault,Assault,884,Main
2017,Negeri Sembilan,Property,Property,3089,Main
2017,Negeri Sembilan,Assault,Causing Injury,241,Subcategory
2017,Negeri Sembilan,Assault,Murder,14,Subcategory
2017,Negeri Sembilan,Assault,Rape,91,Subcategory
2017,Negeri Sembilan,Assault,Robbery Gang,394,Subcategory
2017,Negeri Sembilan,Assault,Robbery Solo,144,Subcategory
2017,Negeri Sembilan,Property,Break In,895,Subcategory
2017,Negeri Sembilan,Property,Theft Other,1121,Subcategory
2017,Negeri Sembilan,Property,Theft Vehicle,1073,Subcategory
2017,Pahang,Assault,Assault,656,Main
2017,Pahang,Property,Property,2951,Main
2017,Pahang,Assault,Causing Injury,188,Subcategory
2017,Pahang,Assault,Murder,16,Subcategory
2017,Pahang,Assault,Rape,163,Subcategory
2017,Pahang,Assault,Robbery Gang,202,Subcategory
2017,Pahang,Assault,Robbery Solo,87,Subcategory
2017,Pahang,Property,Break In,794,Subcategory
2017,Pahang,Property,Theft Other,712,Subcategory
2017,Pahang,Property,Theft Vehicle,1445,Subcategory
2017,Perak,Assault,Assault,1140,Main
2017,Perak,Property,Property,4186,Main
2017,Perak,Assault,Causing Injury,380,Subcategory
2017,Perak,Assault,Murder,35,Subcategory
2017,Perak,Assault,Rape,95,Subcategory
2017,Perak,Assault,Robbery Gang,430,Subcategory
2017,Perak,Assault,Robbery Solo,200,Subcategory
2017,Perak,Property,Break In,859,Subcategory
2017,Perak,Property,Theft Other,1013,Subcategory
2017,Perak,Property,Theft Vehicle,2314,Subcategory
2017,Perlis,Assault,Assault,132,Main
